Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Mar 31 00:00:00 CST 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 07 00:00:00 CST 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 14 00:00:00 CST 2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 21 00:00:00 CST 2014,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Mon Apr 28 00:00:00 CST 2014,44,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Mon May 05 00:00:00 CST 2014,52,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Mon May 12 00:00:00 CST 2014,17,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mon May 19 00:00:00 CST 2014,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 26 00:00:00 CST 2014,19,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 02 00:00:00 CST 2014,21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 09 00:00:00 CST 2014,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 16 00:00:00 CST 2014,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 23 00:00:00 CST 2014,43,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Mon Jun 30 00:00:00 CST 2014,57,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mon Jul 07 00:00:00 CST 2014,99,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0
Mon Jul 14 00:00:00 CST 2014,55,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,1
Mon Jul 21 00:00:00 CST 2014,116,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,76,0,0,5,0,0,0,0,0,0,0,0
Mon Jul 28 00:00:00 CST 2014,53,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,25,0,0,6,0,0,0,0,0,0,0,0
Mon Aug 04 00:00:00 CST 2014,78,0,0,0,0,27,0,0,0,0,0,0,0,0,0,7,1,0,0,3,1,0,0,0,0,0,0,0
Mon Aug 11 00:00:00 CST 2014,73,0,3,0,0,26,0,0,0,0,0,0,0,0,0,12,11,0,0,1,0,0,0,0,0,0,2,0
